date,cluster,host,disk,zero_cnt,total_cnt,max_oc,kl,compared_cnt,percent,max_kl,adjusted_mean,adjusted_std,adjusted_zscore_kl,score,dt,last_15_score,decision_status,score_threshold
2021-11-21,cluster_C,host_1,disk1,673,721,6.0,1.8760847864776964,11,0.06657420249653259,5.3403143322790365,0.822554397312538,1.1063290492686837,0.952275807872507,,2021-11-21,225.0,F,1000.0
2021-11-21,cluster_C,host_1,disk10,643,721,18.0,5.3403143322790365,11,0.10818307905686546,5.3403143322790365,0.822554397312538,1.1063290492686837,4.083558989934208,100.0,2021-11-21,100.0,F,1000.0
2021-11-21,cluster_C,host_1,disk11,717,721,1.0,0.2832638921658905,11,0.005547850208044383,5.3403143322790365,0.822554397312538,1.1063290492686837,-0.4874594095699959,,2021-11-21,0.0,F,1000.0
2021-11-21,cluster_C,host_1,disk12,716,721,1.0,0.27061404066411476,11,0.006934812760055479,5.3403143322790365,0.822554397312538,1.1063290492686837,-0.4988934865384509,,2021-11-21,100.0,F,1000.0
2021-11-21,cluster_C,host_1,disk2,713,721,1.0,0.2493023940029776,11,0.011095700416088766,5.3403143322790365,0.822554397312538,1.1063290492686837,-0.5181568753785295,,2021-11-21,100.0,F,1000.0
2021-11-21,cluster_C,host_1,disk3,717,721,1.0,0.28326389216589054,11,0.005547850208044383,5.3403143322790365,0.822554397312538,1.1063290492686837,-0.4874594095699959,,2021-11-21,,F,1000.0
2021-11-21,cluster_C,host_1,disk4,697,721,2.0,0.42822404679562254,11,0.033287101248266296,5.3403143322790365,0.822554397312538,1.1063290492686837,-0.35643134452410835,,2021-11-21,300.0,F,1000.0
2021-11-21,cluster_C,host_1,disk5,638,721,7.0,3.780599352857222,11,0.11511789181692095,5.3403143322790365,0.822554397312538,1.1063290492686837,2.673747884953432,100.0,2021-11-21,200.0,F,1000.0
2021-11-21,cluster_C,host_1,disk6,688,721,5.0,1.0870826718677773,11,0.04576976421636616,5.3403143322790365,0.822554397312538,1.1063290492686837,0.23910451843427627,,2021-11-21,0.0,F,1000.0
2021-11-21,cluster_C,host_1,disk7,715,721,1.0,0.2610570090207417,11,0.008321775312066574,5.3403143322790365,0.822554397312538,1.1063290492686837,-0.5075319939063,,2021-11-21,0.0,F,1000.0
2021-11-21,cluster_C,host_1,disk8,717,721,1.0,0.28326389216589054,11,0.005547850208044383,5.3403143322790365,0.822554397312538,1.1063290492686837,-0.4874594095699959,,2021-11-21,0.0,F,1000.0
2021-11-21,cluster_C,host_1,disk9,711,721,1.0,0.2453423922540944,11,0.013869625520110958,5.3403143322790365,0.822554397312538,1.1063290492686837,-0.5217362822028382,,2021-11-21,0.0,F,1000.0
2021-11-22,cluster_C,host_1,disk1,676,720,2.0,0.6043259096052729,11,0.06111111111111111,1.4285740897222,0.25587683878769296,0.14305256236438654,2.435811460196029,0.0,2021-11-22,225.0,F,1000.0
2021-11-22,cluster_C,host_1,disk10,697,720,2.0,0.22389752454885345,11,0.03194444444444444,1.4285740897222,0.25587683878769296,0.14305256236438654,-0.22354939827908235,,2021-11-22,100.0,F,1000.0
2021-11-22,cluster_C,host_1,disk11,706,720,2.0,0.16027395309130482,11,0.019444444444444445,1.4285740897222,0.25587683878769296,0.14305256236438654,-0.6683059996707115,,2021-11-22,0.0,F,1000.0
2021-11-22,cluster_C,host_1,disk12,716,720,1.0,0.2039544925372337,11,0.005555555555555556,1.4285740897222,0.25587683878769296,0.14305256236438654,-0.36295991761546753,,2021-11-22,100.0,F,1000.0
2021-11-22,cluster_C,host_1,disk2,687,720,3.0,0.4322475333486392,11,0.04583333333333333,1.4285740897222,0.25587683878769296,0.14305256236438654,1.2329083215698788,,2021-11-22,100.0,F,1000.0
2021-11-22,cluster_C,host_1,disk3,705,720,2.0,0.13768671343633565,11,0.020833333333333332,1.4285740897222,0.25587683878769296,0.14305256236438654,-0.8262006873410691,,2021-11-22,,F,1000.0
2021-11-22,cluster_C,host_1,disk4,709,720,2.0,0.1696954577225327,11,0.015277777777777777,1.4285740897222,0.25587683878769296,0.14305256236438654,-0.602445560154576,,2021-11-22,300.0,F,1000.0
2021-11-22,cluster_C,host_1,disk5,689,720,2.0,0.31158649370944935,11,0.043055555555555555,1.4285740897222,0.25587683878769296,0.14305256236438654,0.3894348622700764,,2021-11-22,200.0,F,1000.0
2021-11-22,cluster_C,host_1,disk6,717,720,1.0,0.22561339700123628,11,0.004166666666666667,1.4285740897222,0.25587683878769296,0.14305256236438654,-0.21155469909982455,,2021-11-22,0.0,F,1000.0
